Line,Source,Target,Reactance,Normal Flow Limit (MW),Emergency Flow Limit (MW),Vulnerable?,Zone
71,25,26,-0.13750000,99999,99999,1,1
72,25,27,0.02660000,8659,8659,1,1
73,25,27,0.02660000,8659,8659,1,1
74,25,31,-0.16480000,99999,99999,1,1
75,25,73,0.01720000,750,750,1,1
76,25,74,0.01790000,750,750,1,1
77,26,73,0.02670000,99999,99999,1,1
78,27,28,-0.74530000,99999,99999,1,1
79,27,29,-0.26180000,99999,99999,1,1
80,27,75,0.01000000,750,750,1,1
81,28,75,0.02900000,99999,99999,1,1
82,29,75,0.02690000,99999,99999,1,1
83,30,78,0.03350000,99999,99999,1,1
84,31,74,0.02790000,99999,99999,1,1
85,32,69,0.02650000,99999,99999,1,1
86,33,34,0.00090000,788,788,0,1
87,33,35,0.00090000,490,490,0,1
88,33,37,0.07070000,99999,99999,1,1
89,33,38,0.06930000,1155,1155,1,1
90,33,39,0.06990000,1208,1208,1,1
91,33,40,0.06980000,1208,1208,1,1
92,33,49,0.04930000,1078,1078,1,1
93,33,50,0.04930000,1078,1078,1,1
94,33,110,0.01570000,99999,99999,0,1
95,33,110,0.01560000,99999,99999,0,1
96,34,36,0.00220000,788,788,0,1
97,36,99,0.04550000,99999,99999,0,1
98,37,87,0.04420000,99999,99999,1,1
99,37,88,0.16510000,99999,99999,1,1
100,38,88,0.16380000,99999,99999,1,1
101,39,43,0.04950000,1208,1208,1,1
102,39,84,0.27860000,99999,99999,1,1
103,40,44,0.04960000,1208,1208,1,1
104,40,84,0.27560000,99999,99999,1,1
105,41,42,0.15140000,99999,99999,1,1
106,41,43,0.00090000,99999,99999,1,1
107,42,44,0.00090000,99999,99999,1,1
108,43,46,0.05080000,1208,1208,1,1
109,44,45,0.05080000,1208,1208,1,1
110,45,61,0.03660000,1208,1208,1,1
111,45,85,0.26000000,99999,99999,1,1
112,46,61,0.03660000,1208,1208,1,1
113,46,85,0.25920000,99999,99999,1,1
114,47,48,0.23060000,99999,99999,1,1
115,47,50,0.00090000,99999,99999,1,1
116,47,87,0.40100000,99999,99999,1,1
117,48,49,0.00090000,99999,99999,1,1
118,48,87,0.43600000,99999,99999,1,1
119,49,51,0.07900000,1078,1078,1,1
120,50,51,0.07900000,1078,1078,1,1
121,51,52,0.02790000,858,858,1,1
122,51,53,0.02790000,858,858,1,1
123,51,56,0.04830000,1093,1093,1,1
124,51,57,0.04830000,1093,1093,1,1
125,52,53,0.39110000,99999,99999,1,1
126,52,54,0.02930000,99999,99999,1,1
127,53,55,0.02930000,99999,99999,1,1
128,54,55,0.92890000,99999,99999,1,1
129,54,61,0.00870000,390,390,1,1
130,55,61,0.00870000,390,390,1,1
131,56,57,0.38950000,99999,99999,1,1
132,56,58,0.01200000,99999,99999,1,1
133,57,58,0.01200000,99999,99999,1,1
134,58,59,2.21750000,99999,99999,1,1
135,58,72,0.23640000,99999,99999,1,1
136,58,87,0.39060000,99999,99999,1,1
137,58,98,0.17650000,99999,99999,1,1
138,58,100,1.26900000,99999,99999,1,1
139,58,103,5.53830000,99999,99999,1,1
140,59,60,5.96590000,99999,99999,1,1
141,59,72,3.04850000,99999,99999,1,1
142,59,79,0.26440000,99999,99999,1,1
143,59,80,2.38980000,99999,99999,1,1
144,59,89,9.05710000,99999,99999,1,1
145,59,92,0.56780000,99999,99999,1,1
146,59,94,5.98850000,99999,99999,1,1
147,59,98,0.58450000,99999,99999,1,1
148,59,100,0.20160000,99999,99999,1,1
149,59,103,0.33410000,99999,99999,1,1
150,59,107,0.88340000,99999,99999,1,1
151,60,135,9.79640000,99999,99999,1,1
152,60,79,1.10680000,99999,99999,1,1
153,60,80,2.64410000,99999,99999,1,1
154,60,90,1.51350000,99999,99999,1,1
155,60,92,3.71390000,99999,99999,1,1
156,60,94,0.07750000,99999,99999,1,1
157,60,95,0.99260000,99999,99999,1,1
158,60,138,1.79360000,99999,99999,1,1
159,61,62,-0.26080000,99999,99999,1,1
160,61,62,-0.54380000,99999,99999,1,1
161,61,63,0.07820000,1331,1331,1,1
162,61,63,0.07820000,1331,1331,1,1
163,61,64,0.03180000,1839,1839,1,1
164,61,65,0.03180000,1208,1208,1,1
165,61,86,0.03200000,215,215,1,1
166,61,86,0.03700000,250,250,1,1
167,61,86,0.03700000,225,225,1,1
168,62,86,0.05010000,99999,99999,1,1
169,62,86,0.08380000,99999,99999,1,1
170,63,64,0.28250000,99999,99999,1,1
171,63,65,0.28130000,99999,99999,1,1
172,63,66,0.09000000,99999,99999,1,1
173,63,67,0.27850000,99999,99999,1,1
174,63,69,0.15710000,99999,99999,1,1
175,63,102,0.15830000,99999,99999,1,1
176,63,102,0.15760000,99999,99999,1,1
177,63,102,0.16040000,99999,99999,1,1
178,63,102,0.15420000,99999,99999,1,1
179,63,116,6.85880000,99999,99999,1,1
180,63,117,0.05600000,99999,99999,1,1
181,63,118,0.24250000,99999,99999,1,1
182,63,124,2.02200000,99999,99999,1,1
183,64,65,0.16740000,99999,99999,1,1
184,64,66,0.06840000,99999,99999,1,1
185,64,67,0.21200000,99999,99999,1,1
186,64,69,0.11960000,99999,99999,1,1
187,64,97,8.29230000,99999,99999,1,1
188,64,124,1.53750000,99999,99999,1,1
189,65,66,0.06820000,99999,99999,1,1
190,65,67,0.21110000,99999,99999,1,1
191,65,69,0.11910000,99999,99999,1,1
192,65,97,8.25820000,99999,99999,1,1
193,65,124,1.53120000,99999,99999,1,1
194,66,67,0.06750000,99999,99999,1,1
195,66,68,2.47200000,99999,99999,1,1
196,66,69,0.03810000,99999,99999,1,1
197,66,97,2.64320000,99999,99999,1,1
198,66,111,0.02640000,99999,99999,0,1
199,66,111,0.02660000,99999,99999,0,1
200,66,111,0.02730000,99999,99999,0,1
201,66,111,0.02640000,99999,99999,0,1
202,66,124,0.49020000,99999,99999,1,1
203,67,68,3.71720000,99999,99999,1,1
204,67,69,0.05500000,99999,99999,1,1
205,67,97,0.11660000,99999,99999,1,1
206,67,119,9.39180000,99999,99999,1,1
207,67,120,1.78470000,99999,99999,1,1
208,67,121,1.17000000,99999,99999,1,1
209,67,122,0.44730000,99999,99999,1,1
210,67,124,0.00650000,99999,99999,1,1
211,67,125,0.25190000,99999,99999,1,1
212,67,132,4.35660000,99999,99999,1,1
213,68,69,0.69840000,99999,99999,1,1
214,69,70,0.33330000,99999,99999,1,1
215,69,71,0.31200000,99999,99999,1,1
216,69,72,0.01000000,99999,99999,1,1
217,69,73,0.07470000,99999,99999,1,1
218,69,74,0.07410000,99999,99999,1,1
219,69,97,1.58490000,99999,99999,1,1
220,69,101,0.21880000,99999,99999,1,1
221,69,112,0.22010000,99999,99999,1,1
222,69,124,0.39860000,99999,99999,1,1
223,70,71,2.66130000,99999,99999,1,1
224,70,72,0.12160000,99999,99999,1,1
225,70,73,0.91250000,99999,99999,1,1
226,70,74,0.91380000,99999,99999,1,1
227,70,101,1.04090000,99999,99999,1,1
228,70,112,1.04710000,99999,99999,1,1
229,71,72,0.11380000,99999,99999,1,1
230,71,73,0.85410000,99999,99999,1,1
231,71,74,0.85530000,99999,99999,1,1
232,71,101,1.23030000,99999,99999,1,1
233,71,112,1.23770000,99999,99999,1,1
234,72,73,0.02750000,99999,99999,1,1
235,72,74,0.02740000,99999,99999,1,1
236,72,98,0.24170000,99999,99999,1,1
237,72,100,1.73840000,99999,99999,1,1
238,72,101,0.08020000,99999,99999,1,1
239,72,103,7.59450000,99999,99999,1,1
240,72,112,0.08060000,99999,99999,1,1
241,73,74,0.03930000,99999,99999,1,1
242,73,75,0.25810000,99999,99999,1,1
243,73,81,0.30680000,99999,99999,1,1
244,73,82,2.01690000,99999,99999,1,1
245,73,91,0.57320000,99999,99999,1,1
246,73,96,0.48050000,99999,99999,1,1
247,73,101,0.60140000,99999,99999,1,1
248,73,105,0.03250000,99999,99999,0,1
249,73,105,0.03250000,99999,99999,0,1
250,73,105,0.02950000,99999,99999,0,1
251,73,108,0.58320000,99999,99999,1,1
252,73,109,3.00590000,99999,99999,1,1
253,73,112,0.60500000,99999,99999,1,1
254,73,121,1.76530000,99999,99999,1,1
255,74,75,0.32770000,99999,99999,1,1
256,74,81,0.46310000,99999,99999,1,1
257,74,82,1.98590000,99999,99999,1,1
258,74,91,0.75110000,99999,99999,1,1
259,74,96,7.69010000,99999,99999,1,1
260,74,101,0.60050000,99999,99999,1,1
261,74,106,0.03350000,99999,99999,0,1
262,74,106,0.03280000,99999,99999,0,1
263,74,108,0.45440000,99999,99999,1,1
264,74,109,3.46970000,99999,99999,1,1
265,74,112,0.60420000,99999,99999,1,1
266,74,121,1.37570000,99999,99999,1,1
267,75,82,1.12500000,99999,99999,1,1
268,75,91,3.14420000,99999,99999,1,1
269,75,96,4.63100000,99999,99999,1,1
270,75,108,0.10490000,99999,99999,1,1
271,75,109,1.44650000,99999,99999,1,1
272,75,121,0.31720000,99999,99999,1,1
273,76,77,0.01600000,99999,99999,1,1
274,76,89,0.02210000,99999,99999,1,1
275,79,80,0.09910000,99999,99999,1,1
276,79,90,2.47100000,99999,99999,1,1
277,79,92,0.30320000,99999,99999,1,1
278,79,94,1.11950000,99999,99999,1,1
279,79,95,6.41540000,99999,99999,1,1
280,79,107,1.41400000,99999,99999,1,1
281,80,90,5.87560000,99999,99999,1,1
282,80,92,1.50530000,99999,99999,1,1
283,80,94,2.64750000,99999,99999,1,1
284,82,91,2.41880000,99999,99999,1,1
285,82,108,0.72780000,99999,99999,1,1
286,82,109,0.26340000,99999,99999,1,1
287,82,121,2.20540000,99999,99999,1,1
288,83,89,0.38550000,99999,99999,1,1
289,89,103,4.14330000,99999,99999,1,1
290,90,92,8.29590000,99999,99999,1,1
291,90,94,1.07170000,99999,99999,1,1
292,91,96,4.24630000,99999,99999,1,1
293,91,108,0.69940000,99999,99999,1,1
294,91,109,4.26340000,99999,99999,1,1
295,91,121,2.12100000,99999,99999,1,1
296,92,94,3.77170000,99999,99999,1,1
297,92,107,3.02270000,99999,99999,1,1
298,94,95,0.99600000,99999,99999,1,1
299,94,138,1.83850000,99999,99999,1,1
300,95,138,0.63890000,99999,99999,1,1
301,96,108,6.11430000,99999,99999,1,1
302,97,124,1.95570000,99999,99999,1,1
303,98,100,0.32690000,99999,99999,1,1
304,98,103,1.43580000,99999,99999,1,1
305,100,103,0.48910000,99999,99999,1,1
306,101,112,0.36100000,99999,99999,1,1
307,102,117,0.01900000,99999,99999,1,1
308,102,118,0.32220000,99999,99999,1,1
309,108,109,1.27130000,99999,99999,1,1
310,108,121,0.04310000,99999,99999,1,1
311,109,121,3.84990000,99999,99999,1,1
312,115,116,0.02910000,99999,99999,1,1
313,115,117,0.22220000,99999,99999,1,1
314,115,118,0.06770000,99999,99999,1,1
315,115,143,0.49240000,99999,99999,1,1
316,116,117,0.02880000,99999,99999,1,1
317,116,118,0.04400000,99999,99999,1,1
318,116,143,1.28960000,99999,99999,1,1
319,117,118,0.00810000,99999,99999,1,1
320,117,143,0.68540000,99999,99999,1,1
321,118,131,6.23850000,99999,99999,1,1
322,118,132,8.14300000,99999,99999,1,1
323,118,143,0.02310000,99999,99999,1,1
324,119,120,0.02360000,99999,99999,1,1
325,119,121,0.29010000,99999,99999,1,1
326,119,122,5.89410000,99999,99999,1,1
327,119,124,3.39400000,99999,99999,1,1
328,119,125,0.25950000,99999,99999,1,1
329,119,126,0.01790000,99999,99999,0,1
330,119,127,1.39320000,99999,99999,1,1
331,119,128,0.05160000,99999,99999,1,1
332,119,129,0.06420000,99999,99999,1,1
333,119,130,0.01630000,99999,99999,1,1
334,119,131,0.02420000,99999,99999,1,1
335,119,132,2.40270000,99999,99999,1,1
336,119,144,3.83580000,99999,99999,1,1
337,120,121,0.07790000,99999,99999,1,1
338,120,122,0.93050000,99999,99999,1,1
339,120,123,0.50110000,99999,99999,1,1
340,120,124,0.47220000,99999,99999,1,1
341,120,125,0.05550000,99999,99999,1,1
342,120,127,0.18180000,99999,99999,1,1
343,120,128,0.07430000,99999,99999,1,1
344,120,129,0.49110000,99999,99999,1,1
345,120,130,1.06750000,99999,99999,1,1
346,120,131,0.45160000,99999,99999,1,1
347,120,132,0.45660000,99999,99999,1,1
348,121,122,0.48300000,99999,99999,1,1
349,121,123,1.94820000,99999,99999,1,1
350,121,124,0.34940000,99999,99999,1,1
351,121,125,0.01240000,99999,99999,1,1
352,121,127,0.83380000,99999,99999,1,1
353,121,128,0.30950000,99999,99999,1,1
354,121,129,4.25400000,99999,99999,1,1
355,121,131,1.50660000,99999,99999,1,1
356,121,132,1.38150000,99999,99999,1,1
357,122,123,4.86090000,99999,99999,1,1
358,122,124,0.05520000,99999,99999,1,1
359,122,125,0.15830000,99999,99999,1,1
360,122,131,1.93500000,99999,99999,1,1
361,122,132,0.25720000,99999,99999,1,1
362,122,133,0.98210000,99999,99999,1,1
363,122,143,0.48880000,99999,99999,1,1
364,123,124,1.96700000,99999,99999,1,1
365,123,125,0.60620000,99999,99999,1,1
366,123,131,1.25350000,99999,99999,1,1
367,123,132,1.20410000,99999,99999,1,1
368,124,125,0.09490000,99999,99999,1,1
369,124,128,8.25130000,99999,99999,1,1
370,124,131,0.81850000,99999,99999,1,1
371,124,132,0.16120000,99999,99999,1,1
372,124,133,1.17980000,99999,99999,1,1
373,124,143,0.76070000,99999,99999,1,1
374,125,127,0.98510000,99999,99999,1,1
375,125,128,0.59910000,99999,99999,1,1
376,125,129,3.97020000,99999,99999,1,1
377,125,130,8.48540000,99999,99999,1,1
378,125,131,0.69390000,99999,99999,1,1
379,125,132,0.50860000,99999,99999,1,1
380,127,128,0.12400000,99999,99999,1,1
381,127,129,1.10820000,99999,99999,1,1
382,128,129,0.02070000,99999,99999,1,1
383,128,130,2.99240000,99999,99999,1,1
384,128,131,4.08690000,99999,99999,1,1
385,130,131,0.01540000,99999,99999,1,1
386,130,132,3.03100000,99999,99999,1,1
387,130,144,3.06640000,99999,99999,1,1
388,131,132,0.04110000,99999,99999,1,1
389,131,133,5.52850000,99999,99999,1,1
390,131,143,0.40550000,99999,99999,1,1
391,131,144,0.01510000,99999,99999,1,1
392,132,133,0.82290000,99999,99999,1,1
393,132,143,0.09650000,99999,99999,1,1
394,132,144,0.98270000,99999,99999,1,1
395,133,143,2.63090000,99999,99999,1,1
396,134,131,0.91440000,99999,99999,1,1
397,134,136,0.64280000,99999,99999,1,1
398,134,139,0.16600000,99999,99999,1,1
399,134,141,0.11790000,99999,99999,1,1
400,134,142,0.11670000,99999,99999,1,1
401,134,144,0.04350000,99999,99999,1,1
402,134,145,0.02160000,99999,99999,1,1
403,135,95,3.48450000,99999,99999,1,1
404,135,136,0.01780000,99999,99999,1,1
405,135,138,0.17290000,99999,99999,1,1
406,135,141,0.69930000,99999,99999,1,1
407,136,115,0.08550000,99999,99999,1,1
408,136,116,4.26550000,99999,99999,1,1
409,136,117,9.08750000,99999,99999,1,1
410,136,118,1.62060000,99999,99999,1,1
411,136,138,0.54850000,99999,99999,1,1
412,136,139,0.02930000,99999,99999,1,1
413,136,140,9.37800000,99999,99999,1,1
414,136,141,0.01750000,99999,99999,1,1
415,136,142,0.17090000,99999,99999,1,1
416,136,143,3.45490000,99999,99999,1,1
417,136,145,0.05390000,99999,99999,1,1
418,137,139,0.09360000,99999,99999,1,1
419,137,140,8.02280000,99999,99999,1,1
420,137,145,0.40710000,99999,99999,1,1
421,139,140,0.02390000,99999,99999,1,1
422,139,141,0.04600000,99999,99999,1,1
423,139,142,1.26700000,99999,99999,1,1
424,139,145,0.00800000,99999,99999,1,1
425,140,145,0.48000000,99999,99999,1,1
426,141,115,0.01310000,99999,99999,1,1
427,141,116,0.74480000,99999,99999,1,1
428,141,117,1.38200000,99999,99999,1,1
429,141,118,0.14390000,99999,99999,1,1
430,141,131,0.81290000,99999,99999,1,1
431,141,132,7.09360000,99999,99999,1,1
432,141,142,0.01050000,99999,99999,1,1
433,141,143,0.17780000,99999,99999,1,1
434,141,144,0.24410000,99999,99999,1,1
435,141,145,0.03580000,99999,99999,1,1
436,142,115,0.15630000,99999,99999,1,1
437,142,116,2.63020000,99999,99999,1,1
438,142,117,2.22840000,99999,99999,1,1
439,142,118,0.10370000,99999,99999,1,1
440,142,119,1.86110000,99999,99999,1,1
441,142,120,7.35300000,99999,99999,1,1
442,142,122,2.17320000,99999,99999,1,1
443,142,124,2.13470000,99999,99999,1,1
444,142,125,8.61600000,99999,99999,1,1
445,142,130,1.86180000,99999,99999,1,1
446,142,131,0.01570000,99999,99999,1,1
447,142,132,0.08100000,99999,99999,1,1
448,142,133,9.17250000,99999,99999,1,1
449,142,143,0.01870000,99999,99999,1,1
450,142,144,0.02290000,99999,99999,1,1
451,142,145,0.43800000,99999,99999,1,1
452,143,144,2.32820000,99999,99999,1,1
453,144,145,1.20520000,99999,99999,1,1
